time;atm_pm_1_0;atm_pm_10_0;atm_pm_2_5;co2;delta;hum;ma;temp
2025-11-08 14:26:30;3;6;6;400;-0.02;36.79;6.1;26.99
2025-11-08 14:26:40;3;6;6;402;0.0;36.8;6.0;26.98
2025-11-08 14:26:50;3;6;5;403;-0.15;36.81;5.9;26.99
2025-11-08 14:27:00;3;9;7;400;0.17;36.81;6.0;27.01
2025-11-08 14:27:10;4;11;7;404;0.13;36.81;6.2;27.0
2025-11-08 14:27:20;3;8;6;400;-0.02;36.82;6.1;26.99
2025-11-08 14:27:30;3;10;8;402;0.27;36.81;6.3;27.01
2025-11-08 14:27:41;2;6;6;402;-0.03;36.82;6.2;26.98
2025-11-08 14:27:51;3;7;6;403;-0.03;36.83;6.2;27.01
2025-11-08 14:28:01;4;9;8;403;0.23;36.83;6.5;26.99
2025-11-08 14:28:11;4;10;10;430;0.45;36.84;6.9;26.98
2025-11-08 14:28:21;3;8;8;440;0.13;36.85;7.1;26.97
2025-11-08 14:28:31;3;8;8;458;0.08;36.85;7.4;26.96
2025-11-08 14:28:41;5;7;7;459;-0.05;36.87;7.4;26.98
2025-11-08 14:28:51;3;5;5;458;-0.31;36.88;7.2;26.98
2025-11-08 14:29:01;3;6;6;455;-0.17;36.88;7.2;26.97
2025-11-08 14:29:12;3;7;6;436;-0.14;36.89;7.0;26.97
2025-11-08 14:29:22;3;8;8;406;0.11;36.87;7.2;26.95
2025-11-08 14:29:32;4;9;8;402;0.08;36.88;7.4;27.0
2025-11-08 14:29:42;3;7;6;401;-0.17;36.86;7.2;26.98
2025-11-08 14:29:52;5;8;8;401;0.14;36.86;7.0;26.96
2025-11-08 14:30:02;4;7;6;402;-0.12;36.86;6.8;26.98
2025-11-08 14:30:12;3;6;5;400;-0.23;36.86;6.5;26.97
2025-11-08 14:30:22;3;6;6;402;-0.06;36.87;6.4;26.98
2025-11-08 14:30:32;4;7;7;402;0.06;36.89;6.6;27.0
2025-11-08 14:30:43;4;7;7;400;0.04;36.87;6.7;26.97
2025-11-08 14:30:53;4;7;7;403;0.03;36.88;6.8;26.98
2025-11-08 14:31:03;3;5;5;400;-0.23;36.89;6.5;26.98
2025-11-08 14:31:13;4;8;7;403;0.09;36.89;6.4;26.99
2025-11-08 14:31:23;4;7;7;400;0.08;36.9;6.5;26.97
2025-11-08 14:31:33;5;8;8;400;0.23;36.9;6.5;26.98
2025-11-08 14:31:43;5;7;6;402;-0.08;36.9;6.5;27.0
2025-11-08 14:31:53;4;6;5;400;-0.23;36.89;6.5;27.0
2025-11-08 14:32:03;5;7;7;403;0.06;36.9;6.6;26.99
2025-11-08 14:32:14;4;9;7;402;0.06;36.88;6.6;27.02
2025-11-08 14:32:24;4;8;7;400;0.06;36.87;6.6;26.99
2025-11-08 14:32:34;5;8;8;403;0.19;36.86;6.7;27.03
2025-11-08 14:32:44;4;8;8;402;0.14;36.83;7.0;27.01
2025-11-08 14:32:54;2;7;7;400;0.0;36.83;7.0;27.02
2025-11-08 14:33:04;4;9;8;404;0.13;36.83;7.1;27.01
2025-11-08 14:33:14;4;8;8;400;0.13;36.81;7.1;27.03
2025-11-08 14:33:24;4;6;6;402;-0.15;36.8;7.1;27.02
2025-11-08 14:33:34;5;8;8;401;0.08;36.8;7.4;27.03
2025-11-08 14:33:44;4;7;7;400;-0.05;36.79;7.4;27.03
2025-11-08 14:33:55;4;8;8;400;0.07;36.8;7.5;27.04
2025-11-08 14:34:05;3;8;7;404;-0.07;36.78;7.5;27.01
2025-11-08 14:34:15;3;7;5;401;-0.31;36.77;7.2;27.01
2025-11-08 14:34:25;2;5;5;401;-0.28;36.78;6.9;27.01
2025-11-08 14:34:35;3;6;6;400;-0.12;36.78;6.8;26.99
2025-11-08 14:34:45;3;7;6;401;-0.09;36.77;6.6;27.01
2025-11-08 14:34:55;4;9;7;400;0.08;36.77;6.5;27.01
2025-11-08 14:35:05;3;6;5;403;-0.22;36.79;6.4;27.03
2025-11-08 14:35:15;4;8;7;400;0.11;36.77;6.3;27.02
2025-11-08 14:35:26;3;8;7;402;0.11;36.78;6.3;26.99
2025-11-08 14:35:36;4;8;7;402;0.13;36.78;6.2;27.01
2025-11-08 14:35:46;3;6;6;402;-0.02;36.78;6.1;27.0
2025-11-08 14:35:56;3;8;8;400;0.25;36.78;6.4;27.0
2025-11-08 14:36:06;4;9;7;404;0.06;36.79;6.6;27.01
2025-11-08 14:36:16;3;8;6;402;-0.09;36.8;6.6;27.0
2025-11-08 14:36:26;4;7;7;401;0.04;36.79;6.7;26.99
2025-11-08 14:36:36;3;4;4;403;-0.38;36.79;6.4;27.0
2025-11-08 14:36:46;4;5;5;400;-0.22;36.8;6.4;26.98
2025-11-08 14:36:57;4;6;6;404;-0.05;36.8;6.3;26.98
2025-11-08 14:37:07;4;6;6;401;-0.03;36.8;6.2;26.99
2025-11-08 14:37:17;4;8;8;403;0.27;36.82;6.3;26.98
2025-11-08 14:37:27;3;7;7;401;0.09;36.8;6.4;26.99
2025-11-08 14:37:37;3;7;7;400;0.11;36.81;6.3;26.97
2025-11-08 14:37:47;3;6;6;403;-0.03;36.81;6.2;26.99
2025-11-08 14:37:57;5;9;9;403;0.38;36.81;6.5;26.98
2025-11-08 14:38:07;5;8;8;402;0.21;36.81;6.6;26.97
2025-11-08 14:38:17;4;6;6;406;-0.12;36.81;6.8;26.97
2025-11-08 14:38:28;5;8;8;407;0.13;36.83;7.1;26.96
2025-11-08 14:38:38;5;8;8;401;0.1;36.82;7.3;26.96
2025-11-08 14:38:48;3;6;6;401;-0.18;36.81;7.3;26.98
2025-11-08 14:38:58;4;7;7;401;-0.03;36.82;7.2;26.98
2025-11-08 14:39:08;4;7;7;402;-0.03;36.82;7.2;26.96
2025-11-08 14:39:18;5;7;7;402;-0.03;36.81;7.2;26.97
2025-11-08 14:39:28;4;7;7;400;-0.04;36.81;7.3;26.94
2025-11-08 14:39:38;3;5;5;401;-0.28;36.82;6.9;26.95
2025-11-08 14:39:48;2;5;4;400;-0.38;36.83;6.5;26.95
2025-11-08 14:39:58;2;4;3;400;-0.52;36.83;6.2;26.95
2025-11-08 14:40:09;3;7;6;402;0.0;36.84;6.0;26.96
2025-11-08 14:40:19;4;6;6;401;0.03;36.85;5.8;26.95
2025-11-08 14:40:29;4;6;6;401;0.03;36.84;5.8;26.94
2025-11-08 14:40:39;3;4;4;400;-0.27;36.84;5.5;26.95
2025-11-08 14:40:49;3;6;6;404;0.11;36.84;5.4;26.94
2025-11-08 14:40:59;3;9;9;403;0.61;36.86;5.6;26.95
2025-11-08 14:41:09;3;7;7;401;0.25;36.85;5.6;26.95
2025-11-08 14:41:19;4;8;8;403;0.36;36.85;5.9;26.95
2025-11-08 14:41:29;3;8;6;401;-0.02;36.85;6.1;26.93
2025-11-08 14:41:40;4;8;7;404;0.08;36.85;6.5;26.94
2025-11-08 14:41:50;3;8;8;402;0.19;36.85;6.7;26.94
2025-11-08 14:42:00;2;6;6;407;-0.1;36.88;6.7;26.96
2025-11-08 14:42:10;3;6;6;401;-0.1;36.89;6.7;26.95
2025-11-08 14:42:20;5;9;9;404;0.25;36.89;7.2;26.94
2025-11-08 14:42:30;5;9;8;402;0.08;36.92;7.4;26.94
2025-11-08 14:42:40;5;9;7;404;-0.03;36.92;7.2;26.94
2025-11-08 14:42:50;5;8;8;404;0.1;36.93;7.3;26.93
2025-11-08 14:43:01;5;9;9;402;0.22;36.92;7.4;26.91
2025-11-08 14:43:11;4;8;7;403;-0.07;36.94;7.5;26.94
2025-11-08 14:43:21;2;6;5;402;-0.32;36.94;7.3;26.95
2025-11-08 14:43:31;2;6;5;400;-0.29;36.94;7.0;26.95
2025-11-08 14:43:41;2;6;4;403;-0.41;36.94;6.8;26.94
2025-11-08 14:43:51;2;6;6;401;-0.12;36.95;6.8;26.95
2025-11-08 14:44:01;3;7;7;403;0.06;36.93;6.6;26.94
2025-11-08 14:44:11;2;5;5;400;-0.21;36.93;6.3;26.96
2025-11-08 14:44:21;3;5;5;402;-0.18;36.93;6.1;26.95
2025-11-08 14:44:31;3;6;6;403;0.02;36.93;5.9;26.96
2025-11-08 14:44:42;3;6;6;403;0.07;36.93;5.6;26.96
2025-11-08 14:44:52;4;8;8;402;0.4;36.93;5.7;26.96
2025-11-08 14:45:02;5;8;8;404;0.33;36.92;6.0;26.97
2025-11-08 14:45:12;4;9;9;400;0.41;36.9;6.4;26.97
2025-11-08 14:45:22;4;8;7;404;0.04;36.88;6.7;26.98
2025-11-08 14:45:32;3;8;6;400;-0.1;36.86;6.7;26.98
2025-11-08 14:45:42;4;9;6;404;-0.09;36.85;6.6;26.96
2025-11-08 14:45:52;3;9;7;400;0.03;36.85;6.8;26.99
2025-11-08 14:46:02;3;7;6;403;-0.13;36.84;6.9;26.98
2025-11-08 14:46:13;4;6;6;403;-0.13;36.84;6.9;26.99
2025-11-08 14:46:23;3;6;4;404;-0.4;36.85;6.7;27.0
2025-11-08 14:46:33;4;6;6;401;-0.08;36.84;6.5;26.99
2025-11-08 14:46:43;3;5;5;401;-0.19;36.86;6.2;26.98
2025-11-08 14:46:53;3;6;5;400;-0.14;36.86;5.8;27.01
2025-11-08 14:47:03;5;7;7;403;0.21;36.86;5.8;26.99
2025-11-08 14:47:13;4;6;6;400;0.03;36.85;5.8;26.99
2025-11-08 14:47:23;4;7;7;400;0.19;36.85;5.9;26.99
2025-11-08 14:47:34;4;7;7;403;0.19;36.84;5.9;27.0
2025-11-08 14:47:44;3;6;6;401;0.02;36.83;5.9;27.01
2025-11-08 14:47:54;4;7;7;404;0.17;36.82;6.0;26.99
2025-11-08 14:48:04;4;8;8;404;0.25;36.8;6.4;27.0
2025-11-08 14:48:14;4;8;6;405;-0.06;36.8;6.4;27.0
2025-11-08 14:48:24;3;6;6;406;-0.08;36.81;6.5;27.01
2025-11-08 14:48:34;3;4;4;408;-0.38;36.8;6.4;27.01
2025-11-08 14:48:44;4;6;6;408;-0.05;36.79;6.3;27.01
2025-11-08 14:48:54;2;6;5;408;-0.19;36.78;6.2;27.01
2025-11-08 14:49:05;3;7;5;403;-0.17;36.76;6.0;27.02
2025-11-08 14:49:15;3;7;5;404;-0.14;36.76;5.8;27.04
2025-11-08 14:49:25;3;6;5;400;-0.12;36.75;5.7;27.0
2025-11-08 14:49:35;4;7;6;404;0.07;36.75;5.6;27.01
2025-11-08 14:49:45;4;7;7;402;0.27;36.75;5.5;27.02
2025-11-08 14:49:55;4;6;6;403;0.09;36.74;5.5;27.01
2025-11-08 14:50:05;4;8;7;400;0.25;36.74;5.6;27.02
2025-11-08 14:50:15;3;7;6;400;0.03;36.75;5.8;27.04
2025-11-08 14:50:25;4;9;9;401;0.48;36.76;6.1;27.01
2025-11-08 14:50:36;3;6;6;400;-0.03;36.74;6.2;27.0
2025-11-08 14:50:46;3;6;6;404;-0.05;36.75;6.3;27.0
2025-11-08 14:50:56;4;6;6;400;-0.06;36.76;6.4;27.03
2025-11-08 14:51:06;4;6;6;402;-0.08;36.76;6.5;27.01
2025-11-08 14:51:16;3;6;6;402;-0.08;36.75;6.5;27.01
2025-11-08 14:51:26;2;6;6;402;-0.06;36.75;6.4;27.01
2025-11-08 14:51:36;2;7;7;403;0.08;36.76;6.5;27.03
2025-11-08 14:51:46;4;7;7;400;0.08;36.74;6.5;27.0
2025-11-08 14:51:56;3;5;5;400;-0.22;36.76;6.4;27.01
2025-11-08 14:52:07;4;8;8;403;0.27;36.75;6.3;26.99
2025-11-08 14:52:17;4;9;8;404;0.23;36.75;6.5;27.0
2025-11-08 14:52:27;4;7;6;403;-0.08;36.74;6.5;26.99
2025-11-08 14:52:37;3;5;5;400;-0.22;36.76;6.4;26.99
2025-11-08 14:52:47;3;5;5;404;-0.21;36.76;6.3;27.01
2025-11-08 14:52:57;3;5;5;401;-0.19;36.77;6.2;26.99
2025-11-08 14:53:07;3;6;6;403;-0.03;36.77;6.2;26.98
2025-11-08 14:53:17;4;7;7;402;0.13;36.77;6.2;26.99
2025-11-08 14:53:27;4;9;8;404;0.27;36.77;6.3;26.98
2025-11-08 14:53:37;5;8;8;401;0.21;36.77;6.6;26.98
2025-11-08 14:53:48;4;8;8;401;0.21;36.77;6.6;26.98
2025-11-08 14:53:58;3;7;7;400;0.08;36.79;6.5;26.97
2025-11-08 14:54:08;3;6;6;404;-0.08;36.78;6.5;26.98
2025-11-08 14:54:18;3;6;6;400;-0.09;36.78;6.6;26.98
2025-11-08 14:54:28;3;7;6;402;-0.1;36.78;6.7;26.97
2025-11-08 14:54:38;3;10;7;400;0.01;36.79;6.9;26.96
2025-11-08 14:54:48;4;9;8;403;0.13;36.79;7.1;26.96
2025-11-08 14:54:58;3;6;5;403;-0.28;36.77;6.9;26.95
2025-11-08 14:55:08;4;7;6;401;-0.1;36.79;6.7;26.99
2025-11-08 14:55:19;5;8;8;404;0.19;36.79;6.7;26.96
2025-11-08 14:55:29;4;7;7;401;0.06;36.79;6.6;26.94
2025-11-08 14:55:39;5;7;7;403;0.06;36.79;6.6;26.94
2025-11-08 14:55:49;5;7;7;402;0.04;36.81;6.7;26.97
2025-11-08 14:55:59;4;7;6;401;-0.1;36.81;6.7;26.96
2025-11-08 14:56:09;3;4;4;400;-0.38;36.81;6.5;26.95
2025-11-08 14:56:19;3;6;6;402;-0.06;36.81;6.4;26.95
2025-11-08 14:56:29;3;7;6;401;-0.03;36.82;6.2;26.94
2025-11-08 14:56:40;3;5;5;400;-0.19;36.83;6.2;26.94
2025-11-08 14:56:50;4;5;5;401;-0.18;36.82;6.1;26.95
2025-11-08 14:57:00;3;6;6;403;0.02;36.83;5.9;26.93
2025-11-08 14:57:10;2;5;5;401;-0.12;36.83;5.7;26.93
2025-11-08 14:57:20;3;6;6;403;0.07;36.82;5.6;26.94
2025-11-08 14:57:30;3;6;6;401;0.09;36.83;5.5;26.91
2025-11-08 14:57:40;4;9;7;400;0.25;36.83;5.6;26.93
2025-11-08 14:57:50;4;9;8;403;0.33;36.82;6.0;26.92
2025-11-08 14:58:00;3;8;8;401;0.29;36.84;6.2;26.91
2025-11-08 14:58:11;3;7;6;403;-0.03;36.86;6.2;26.92
2025-11-08 14:58:21;3;6;6;403;-0.05;36.89;6.3;26.93
2025-11-08 14:58:31;4;7;7;403;0.08;36.88;6.5;26.92
2025-11-08 14:58:41;3;5;5;402;-0.22;36.88;6.4;26.93
2025-11-08 14:58:51;4;6;6;403;-0.08;36.89;6.5;26.92
2025-11-08 14:59:01;3;6;6;402;-0.08;36.9;6.5;26.92
2025-11-08 14:59:11;3;6;6;402;-0.08;36.89;6.5;26.92
2025-11-08 14:59:21;5;7;7;400;0.08;36.91;6.5;26.93
2025-11-08 14:59:31;5;7;7;400;0.09;36.88;6.4;26.93
2025-11-08 14:59:42;4;6;5;403;-0.18;36.89;6.1;26.94
2025-11-08 14:59:52;4;6;6;400;-0.02;36.87;6.1;26.94
2025-11-08 15:00:02;4;7;5;402;-0.17;36.88;6.0;26.93
2025-11-08 15:00:12;3;7;5;406;-0.14;36.89;5.8;26.93
2025-11-08 15:00:22;5;7;7;405;0.17;36.89;6.0;26.93
2025-11-08 15:00:32;4;9;9;407;0.43;36.91;6.3;26.93
2025-11-08 15:00:42;3;6;6;405;-0.05;36.91;6.3;26.92
2025-11-08 15:00:52;3;7;6;406;-0.05;36.9;6.3;26.91
2025-11-08 15:01:02;3;6;5;407;-0.18;36.91;6.1;26.94
2025-11-08 15:01:13;4;8;7;408;0.15;36.92;6.1;26.92
2025-11-08 15:01:23;4;9;9;409;0.38;36.92;6.5;26.93
2025-11-08 15:01:33;4;8;8;409;0.19;36.91;6.7;26.92
2025-11-08 15:01:43;3;6;6;405;-0.12;36.92;6.8;26.95
2025-11-08 15:01:53;3;6;5;404;-0.26;36.93;6.8;26.96
2025-11-08 15:02:03;5;6;6;404;-0.1;36.93;6.7;26.96
2025-11-08 15:02:13;3;5;5;402;-0.21;36.93;6.3;26.95
2025-11-08 15:02:23;4;6;6;403;-0.05;36.91;6.3;26.95
2025-11-08 15:02:33;3;7;6;404;-0.05;36.91;6.3;26.96
2025-11-08 15:02:44;2;6;6;403;-0.06;36.92;6.4;26.97
2025-11-08 15:02:54;4;7;7;404;0.09;36.91;6.4;26.97
2025-11-08 15:03:04;2;6;6;403;-0.02;36.91;6.1;26.96
2025-11-08 15:03:14;2;5;5;401;-0.14;36.91;5.8;26.95
2025-11-08 15:03:24;3;5;5;404;-0.12;36.88;5.7;26.97
2025-11-08 15:03:34;3;7;7;401;0.19;36.88;5.9;26.96
2025-11-08 15:03:44;3;8;7;404;0.17;36.89;6.0;27.0
2025-11-08 15:03:54;3;7;7;404;0.13;36.88;6.2;26.97
2025-11-08 15:04:04;4;6;6;403;-0.03;36.85;6.2;26.98
2025-11-08 15:04:15;4;7;7;401;0.11;36.84;6.3;26.99
2025-11-08 15:04:25;3;7;7;404;0.09;36.83;6.4;27.01
